DOY,time,temperature,humidity,pressure,windspeed,cloudCoverTotal,attenuation
32.0,17.0,15.6,81.0,1014.0,4.6,232.0,0.465517241379
32.0,18.0,14.4,84.0,1015.0,4.1,18.0,0.666666666667
33.0,8.0,10.6,93.0,1017.0,3.1,170.0,0.252941176471
33.0,9.0,11.7,86.0,1017.0,2.6,425.0,0.482352941176
33.0,10.0,13.9,83.0,1018.0,2.6,637.0,0.532182103611
33.0,11.0,16.7,75.0,1017.0,0.0,790.0,0.629113924051
33.0,12.0,17.2,78.0,1017.0,4.1,875.0,0.666285714286
33.0,13.0,16.7,78.0,1016.0,2.6,885.0,0.668926553672
33.0,14.0,16.7,81.0,1015.0,4.1,819.0,0.649572649573
33.0,15.0,16.7,81.0,1016.0,5.2,682.0,0.601173020528
33.0,16.0,16.7,78.0,1015.0,3.6,483.0,0.507246376812
33.0,17.0,15.6,84.0,1016.0,4.1,237.0,0.333333333333
33.0,18.0,15.0,87.0,1016.0,3.6,20.0,0.3
34.0,7.0,9.4,83.0,1017.0,2.6,3.0,0.666666666667
34.0,8.0,12.2,69.0,1017.0,2.1,174.0,0.379310344828
34.0,9.0,15.6,56.0,1017.0,3.6,429.0,0.517482517483
34.0,10.0,18.9,42.0,1017.0,4.1,641.0,0.624024960998
34.0,11.0,21.1,34.0,1016.0,4.1,795.0,0.631446540881
34.0,12.0,22.8,30.0,1016.0,2.6,880.0,0.692045454545
34.0,13.0,21.1,53.0,1015.0,4.1,890.0,0.684269662921
34.0,14.0,19.4,68.0,1015.0,4.6,824.0,0.646844660194
34.0,15.0,19.4,59.0,1015.0,2.6,687.0,0.561863173217
34.0,16.0,20.0,55.0,1014.0,3.6,488.0,0.559426229508
34.0,17.0,16.7,73.0,1014.0,5.2,242.0,0.371900826446
34.0,18.0,15.6,72.0,1014.0,2.6,22.0,0.363636363636
35.0,8.0,16.1,44.0,1015.0,1.5,178.0,0.224719101124
35.0,9.0,17.8,38.0,1016.0,4.6,433.0,0.35103926097
35.0,10.0,19.4,36.0,1016.0,2.6,646.0,0.342105263158
35.0,11.0,20.6,34.0,1016.0,3.6,800.0,0.315
35.0,12.0,23.3,28.0,1014.0,4.6,885.0,0.316384180791
35.0,13.0,23.9,27.0,1013.0,1.5,895.0,0.659217877095
35.0,14.0,23.9,25.0,1012.0,3.6,829.0,0.500603136309
35.0,15.0,23.9,24.0,1012.0,2.1,692.0,0.494219653179
35.0,16.0,21.7,41.0,1012.0,0.0,493.0,0.223123732252
35.0,17.0,22.8,29.0,1012.0,1.5,247.0,0.125506072874
35.0,18.0,21.1,35.0,1012.0,0.0,24.0,0.291666666667
36.0,7.0,15.0,84.0,1011.0,4.1,4.0,0.5
36.0,8.0,14.4,90.0,1012.0,4.1,182.0,0.17032967033
