,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,visibility,windBearing,windSpeed,timezone
2016-03-25 21:22:00-07:00,13.072333333333333,0.0,9.081,0.7673333333333333,,310.9,0.0,0.0,1016.2216666666667,,13.072333333333333,16.09,312.1,3.9480000000000004,
2016-03-25 21:23:00-07:00,13.060166666666666,0.0,9.0765,0.7676666666666667,,310.895,0.0,0.0,1016.2258333333333,,13.060166666666666,16.09,312.15,3.947,
2016-03-25 21:24:00-07:00,13.048,0.0,9.072,0.768,,310.89,0.0,0.0,1016.23,,13.048,16.09,312.2,3.946,
2016-03-25 21:25:00-07:00,13.035833333333333,0.0,9.0675,0.7683333333333333,,310.885,0.0,0.0,1016.2341666666666,,13.035833333333333,16.09,312.25,3.9450000000000003,
2016-03-25 21:26:00-07:00,13.023666666666667,0.0,9.063,0.7686666666666667,,310.88,0.0,0.0,1016.2383333333333,,13.023666666666667,16.09,312.3,3.944,
2016-03-25 21:27:00-07:00,13.0115,0.0,9.0585,0.769,,310.875,0.0,0.0,1016.2425,,13.0115,16.09,312.35,3.943,
2016-03-25 21:28:00-07:00,12.999333333333333,0.0,9.054,0.7693333333333333,,310.87,0.0,0.0,1016.2466666666667,,12.999333333333333,16.09,312.4,3.942,
2016-03-25 21:29:00-07:00,12.987166666666667,0.0,9.0495,0.7696666666666667,,310.865,0.0,0.0,1016.2508333333333,,12.987166666666667,16.09,312.45,3.9410000000000003,
2016-03-25 21:30:00-07:00,12.975,0.0,9.045,0.77,,310.86,0.0,0.0,1016.255,,12.975,16.09,312.5,3.9400000000000004,
2016-03-25 21:31:00-07:00,12.962833333333332,0.0,9.0405,0.7703333333333333,,310.85499999999996,0.0,0.0,1016.2591666666667,,12.962833333333332,16.09,312.55,3.939,
2016-03-25 21:32:00-07:00,12.950666666666667,0.0,9.036,0.7706666666666667,,310.84999999999997,0.0,0.0,1016.2633333333333,,12.950666666666667,16.09,312.6,3.938,
2016-03-25 21:33:00-07:00,12.9385,0.0,9.0315,0.771,,310.84499999999997,0.0,0.0,1016.2675,,12.9385,16.09,312.65,3.9370000000000003,
2016-03-25 21:34:00-07:00,12.926333333333332,0.0,9.027,0.7713333333333333,,310.84,0.0,0.0,1016.2716666666666,,12.926333333333332,16.09,312.7,3.936,
2016-03-25 21:35:00-07:00,12.914166666666667,0.0,9.0225,0.7716666666666667,,310.835,0.0,0.0,1016.2758333333334,,12.914166666666667,16.09,312.75,3.935,
